type,date_heure,production_kw,valeur_meteo,ville,temperature_c,statut
hydraulique,2026-01-03 07:17:22,4.8,12,Marseille,19,actif
solaire,2026-01-03 08:17:22,1.97,329,Aix-en-Provence,21,actif
eolien,2026-01-03 08:17:22,8,45,Aix-en-Provence,18,actif
hydraulique,2026-01-03 08:17:22,4.8,12,Aix-en-Provence,18,actif
solaire,2026-01-03 08:17:22,2.3,383,Marseille,21,actif
eolien,2026-01-03 08:17:22,6.71,43,Marseille,20,actif
hydraulique,2026-01-03 08:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-03 09:17:22,3.09,515,Aix-en-Provence,20,actif
eolien,2026-01-03 09:17:22,1.28,29,Aix-en-Provence,19,actif
hydraulique,2026-01-03 09:17:22,4.8,12,Aix-en-Provence,19,actif
solaire,2026-01-03 09:17:22,0,0,Marseille,19,maintenance
eolien,2026-01-03 09:17:22,8,51,Marseille,19,actif
hydraulique,2026-01-03 09:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-03 10:17:22,3.46,577,Aix-en-Provence,20,actif
eolien,2026-01-03 10:17:22,0.19,20,Aix-en-Provence,23,actif
hydraulique,2026-01-03 10:17:22,4.8,12,Aix-en-Provence,21,actif
solaire,2026-01-03 10:17:22,3.83,638,Marseille,20,actif
eolien,2026-01-03 10:17:22,0.02,15,Marseille,20,actif
hydraulique,2026-01-03 10:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-03 11:17:22,4.33,722,Aix-en-Provence,24,actif
eolien,2026-01-03 11:17:22,8,51,Aix-en-Provence,23,actif
hydraulique,2026-01-03 11:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-03 11:17:22,4.67,779,Marseille,23,actif
eolien,2026-01-03 11:17:22,0.32,22,Marseille,24,actif
hydraulique,2026-01-03 11:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-03 12:17:22,4.9,817,Aix-en-Provence,25,actif
eolien,2026-01-03 12:17:22,0.76,26,Aix-en-Provence,25,actif
hydraulique,2026-01-03 12:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-03 12:17:22,4.29,715,Marseille,23,actif
eolien,2026-01-03 12:17:22,6.71,43,Marseille,24,actif
hydraulique,2026-01-03 12:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-03 13:17:22,5.21,868,Aix-en-Provence,24,actif
eolien,2026-01-03 13:17:22,8,55,Aix-en-Provence,24,actif
hydraulique,2026-01-03 13:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-03 13:17:22,4.91,818,Marseille,23,actif
eolien,2026-01-03 13:17:22,3.67,37,Marseille,24,actif
hydraulique,2026-01-03 13:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-03 14:17:22,4.28,714,Aix-en-Provence,25,actif
eolien,2026-01-03 14:17:22,8,56,Aix-en-Provence,25,actif
hydraulique,2026-01-03 14:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-03 14:17:22,5.2,867,Marseille,23,actif
eolien,2026-01-03 14:17:22,8,55,Marseille,24,actif
hydraulique,2026-01-03 14:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-03 15:17:22,4.73,789,Aix-en-Provence,25,actif
eolien,2026-01-03 15:17:22,5.56,41,Aix-en-Provence,24,actif
hydraulique,2026-01-03 15:17:22,4.8,12,Aix-en-Provence,22,actif
solaire,2026-01-03 15:17:22,3.93,655,Marseille,25,actif
eolien,2026-01-03 15:17:22,8,58,Marseille,24,actif
hydraulique,2026-01-03 15:17:22,4.8,12,Marseille,23,actif
solaire,2026-01-03 16:17:22,3.85,641,Aix-en-Provence,24,actif
eolien,2026-01-03 16:17:22,1.99,32,Aix-en-Provence,23,actif
hydraulique,2026-01-03 16:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-03 16:17:22,3.49,582,Marseille,26,actif
eolien,2026-01-03 16:17:22,0.25,21,Marseille,26,actif
hydraulique,2026-01-03 16:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-03 17:17:22,3.15,525,Aix-en-Provence,24,actif
eolien,2026-01-03 17:17:22,0.06,17,Aix-en-Provence,23,actif
hydraulique,2026-01-03 17:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-03 17:17:22,3.17,528,Marseille,24,actif
eolien,2026-01-03 17:17:22,8,53,Marseille,25,actif
hydraulique,2026-01-03 17:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-03 18:17:22,1.93,322,Aix-en-Provence,23,actif
eolien,2026-01-03 18:17:22,7.33,44,Aix-en-Provence,23,actif
hydraulique,2026-01-03 18:17:22,4.8,12,Aix-en-Provence,22,actif
solaire,2026-01-03 18:17:22,2.02,336,Marseille,24,actif
eolien,2026-01-03 18:17:22,0.06,17,Marseille,24,actif
hydraulique,2026-01-03 18:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-03 19:17:22,1.05,175,Aix-en-Provence,23,actif
eolien,2026-01-03 19:17:22,1.28,29,Aix-en-Provence,23,actif
hydraulique,2026-01-03 19:17:22,4.8,12,Aix-en-Provence,22,actif
solaire,2026-01-03 19:17:22,1.01,169,Marseille,23,actif
eolien,2026-01-03 19:17:22,8,49,Marseille,25,actif
hydraulique,2026-01-03 19:17:22,4.8,12,Marseille,26,actif
solaire,2026-01-03 20:17:22,0,0,Aix-en-Provence,23,actif
eolien,2026-01-03 20:17:22,8,55,Aix-en-Provence,25,actif
hydraulique,2026-01-03 20:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-03 20:17:22,0,0,Marseille,25,actif
eolien,2026-01-03 20:17:22,7.33,44,Marseille,22,actif
hydraulique,2026-01-03 20:17:22,4.8,12,Marseille,23,actif
solaire,2026-01-03 21:17:22,0,0,Aix-en-Provence,22,actif
eolien,2026-01-03 21:17:22,8,48,Aix-en-Provence,22,actif
hydraulique,2026-01-03 21:17:22,4.8,12,Aix-en-Provence,24,actif
solaire,2026-01-03 21:17:22,0,0,Marseille,22,actif
eolien,2026-01-03 21:17:22,8,53,Marseille,21,actif
hydraulique,2026-01-03 21:17:22,4.8,12,Marseille,24,actif
solaire,2026-01-03 22:17:22,0,0,Aix-en-Provence,21,actif
eolien,2026-01-03 22:17:22,8,48,Aix-en-Provence,23,actif
hydraulique,2026-01-03 22:17:22,4.8,12,Aix-en-Provence,21,actif
solaire,2026-01-03 22:17:22,0,0,Marseille,20,actif
eolien,2026-01-03 22:17:22,4.1,38,Marseille,23,actif
hydraulique,2026-01-03 22:17:22,4.8,12,Marseille,21,actif
solaire,2026-01-03 23:17:22,0,0,Aix-en-Provence,21,actif
eolien,2026-01-03 23:17:22,0.01,14,Aix-en-Provence,22,actif
hydraulique,2026-01-03 23:17:22,4.8,12,Aix-en-Provence,21,actif
solaire,2026-01-03 23:17:22,0,0,Marseille,19,actif
eolien,2026-01-03 23:17:22,4.1,38,Marseille,22,actif
hydraulique,2026-01-03 23:17:22,4.8,12,Marseille,19,actif
solaire,2026-01-04 00:17:22,0,0,Aix-en-Provence,9,actif
eolien,2026-01-04 00:17:22,8,50,Aix-en-Provence,10,actif
hydraulique,2026-01-04 00:17:22,4.8,12,Aix-en-Provence,9,actif
solaire,2026-01-04 00:17:22,0,0,Marseille,11,actif
eolien,2026-01-04 00:17:22,2.92,35,Marseille,11,actif
hydraulique,2026-01-04 00:17:22,4.8,12,Marseille,10,actif
solaire,2026-01-04 01:17:22,0,0,Aix-en-Provence,12,actif
eolien,2026-01-04 01:17:22,0.92,27,Aix-en-Provence,9,actif
hydraulique,2026-01-04 01:17:22,4.8,12,Aix-en-Provence,12,actif
solaire,2026-01-04 01:17:22,0,0,Marseille,12,actif
eolien,2026-01-04 01:17:22,0.14,19,Marseille,12,actif
hydraulique,2026-01-04 01:17:22,4.8,12,Marseille,12,actif
solaire,2026-01-04 02:17:22,0,0,Aix-en-Provence,11,actif
eolien,2026-01-04 02:17:22,0.19,20,Aix-en-Provence,12,actif
hydraulique,2026-01-04 02:17:22,4.8,12,Aix-en-Provence,11,actif
solaire,2026-01-04 02:17:22,0,0,Marseille,13,actif
eolien,2026-01-04 02:17:22,0.0,11,Marseille,12,actif
hydraulique,2026-01-04 02:17:22,4.8,12,Marseille,10,actif
solaire,2026-01-04 03:17:22,0,0,Aix-en-Provence,12,actif
eolien,2026-01-04 03:17:22,0.01,13,Aix-en-Provence,14,actif
hydraulique,2026-01-04 03:17:22,4.8,12,Aix-en-Provence,12,actif
solaire,2026-01-04 03:17:22,0,0,Marseille,13,actif
eolien,2026-01-04 03:17:22,0.0,11,Marseille,14,actif
hydraulique,2026-01-04 03:17:22,4.8,12,Marseille,13,actif
solaire,2026-01-04 04:17:22,0,0,Aix-en-Provence,13,actif
eolien,2026-01-04 04:17:22,8,45,Aix-en-Provence,14,actif
hydraulique,2026-01-04 04:17:22,4.8,12,Aix-en-Provence,13,actif
solaire,2026-01-04 04:17:22,0,0,Marseille,15,actif
eolien,2026-01-04 04:17:22,6.11,42,Marseille,13,actif
hydraulique,2026-01-04 04:17:22,4.8,12,Marseille,14,actif
solaire,2026-01-04 05:17:22,0,0,Aix-en-Provence,17,actif
eolien,2026-01-04 05:17:22,0.04,16,Aix-en-Provence,17,actif
hydraulique,2026-01-04 05:17:22,4.8,12,Aix-en-Provence,17,actif
solaire,2026-01-04 05:17:22,0,0,Marseille,14,actif
eolien,2026-01-04 05:17:22,0.01,13,Marseille,16,actif
hydraulique,2026-01-04 05:17:22,4.8,12,Marseille,15,actif
solaire,2026-01-04 06:17:22,0,0,Aix-en-Provence,18,actif
eolien,2026-01-04 06:17:22,4.1,38,Aix-en-Provence,17,actif
hydraulique,2026-01-04 06:17:22,4.8,12,Aix-en-Provence,15,actif
solaire,2026-01-04 06:17:22,0,0,Marseille,17,actif
eolien,2026-01-04 06:17:22,0.01,14,Marseille,17,actif
hydraulique,2026-01-04 06:17:22,4.8,12,Marseille,17,actif
solaire,2026-01-04 07:17:22,1.2,200,Aix-en-Provence,20,actif
eolien,2026-01-04 07:17:22,8,47,Aix-en-Provence,20,actif
hydraulique,2026-01-04 07:17:22,4.8,12,Aix-en-Provence,20,actif
solaire,2026-01-04 07:17:22,1.12,186,Marseille,17,actif
eolien,2026-01-04 07:17:22,8,49,Marseille,18,actif
hydraulique,2026-01-04 07:17:22,4.8,12,Marseille,20,actif
solaire,2026-01-04 08:17:22,1.88,314,Aix-en-Provence,18,actif
eolien,2026-01-04 08:17:22,7.33,44,Aix-en-Provence,20,actif
hydraulique,2026-01-04 08:17:22,4.8,12,Aix-en-Provence,21,actif
solaire,2026-01-04 08:17:22,2.03,339,Marseille,18,actif
eolien,2026-01-04 08:17:22,8,45,Marseille,20,actif
hydraulique,2026-01-04 08:17:22,4.8,12,Marseille,19,actif
solaire,2026-01-04 09:17:22,3.23,538,Aix-en-Provence,19,actif
eolien,2026-01-04 09:17:22,0.0,11,Aix-en-Provence,20,actif
hydraulique,2026-01-04 09:17:22,4.8,12,Aix-en-Provence,19,actif
solaire,2026-01-04 09:17:22,2.72,454,Marseille,21,actif
eolien,2026-01-04 09:17:22,0.25,21,Marseille,19,actif
hydraulique,2026-01-04 09:17:22,4.8,12,Marseille,19,actif
solaire,2026-01-04 10:17:22,3.94,656,Aix-en-Provence,22,actif
eolien,2026-01-04 10:17:22,0.01,14,Aix-en-Provence,23,actif
hydraulique,2026-01-04 10:17:22,4.8,12,Aix-en-Provence,21,actif
solaire,2026-01-04 10:17:22,4.18,697,Marseille,22,actif
eolien,2026-01-04 10:17:22,6.11,42,Marseille,23,actif
hydraulique,2026-01-04 10:17:22,4.8,12,Marseille,20,actif
solaire,2026-01-04 11:17:22,4.64,774,Aix-en-Provence,22,actif
eolien,2026-01-04 11:17:22,5.04,40,Aix-en-Provence,24,actif
hydraulique,2026-01-04 11:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-04 11:17:22,4.8,800,Marseille,21,actif
eolien,2026-01-04 11:17:22,4.55,39,Marseille,21,actif
hydraulique,2026-01-04 11:17:22,4.8,12,Marseille,23,actif
solaire,2026-01-04 12:17:22,4.33,721,Aix-en-Provence,22,actif
eolien,2026-01-04 12:17:22,4.55,39,Aix-en-Provence,22,actif
hydraulique,2026-01-04 12:17:22,4.8,12,Aix-en-Provence,23,actif
solaire,2026-01-04 12:17:22,4.25,708,Marseille,23,actif
eolien,2026-01-04 12:17:22,8,55,Marseille,23,actif
hydraulique,2026-01-04 12:17:22,4.8,12,Marseille,22,actif
solaire,2026-01-04 13:17:22,5.11,851,Aix-en-Provence,23,actif
eolien,2026-01-04 13:17:22,8,46,Aix-en-Provence,25,actif
hydraulique,2026-01-04 13:17:22,4.8,12,Aix-en-Provence,22,actif
solaire,2026-01-04 13:17:22,4.78,796,Marseille,22,actif
eolien,2026-01-04 13:17:22,0.14,19,Marseille,23,actif
hydraulique,2026-01-04 13:17:22,4.8,12,Marseille,25,actif
solaire,2026-01-04 14:17:22,4.72,786,Aix-en-Provence,26,actif
